objid,ra,dec,u,g,r,i,z,class,redshift,pre_uv_mag,pre_uv_wave,pre_uv_source,pre_green_mag,pre_green_wave,pre_green_source,log_L_bolometric,intrinsic_color_index,rest_color_span_nm
1237648720680386797,149.149917105534,-0.490024753382519,19.43965,17.78131,16.93354,16.52804,16.23983,GALAXY,0.08809023,-18.626923270582463,326.2597073406311,u,-20.285263270582465,431.0304302612845,g,10.204839708232988,1.6583400000000026,104.77072292065338
1237651800696881166,149.191287125011,-0.259532831930187,18.77877,17.31129,16.69901,16.41263,16.1776,GALAXY,0.07061857,-18.77260845221923,331.5840112879791,u,-20.240088452219236,438.0645106874992,g,10.122207380887694,1.4674800000000054,106.48049939952011
1237648720680321130,149.112651889328,-0.475619098890281,19.33666,17.4771,16.43731,15.93744,15.61362,GALAXY,0.08669478,-18.69245264596921,326.6786650065624,u,-20.552012645969214,431.5839264452895,g,10.359474658387686,1.8595600000000019,104.90526143872705
1237651800696881250,149.186327928749,-0.311807074508784,19.84366,17.93677,16.91524,16.47619,16.08408,GALAXY,0.08834462,-18.22968270613813,326.18344729815453,u,-20.136572706138136,430.9296810784069,g,10.180861882455256,1.9068900000000042,104.74623378025234
1237654669735231493,149.112976728624,-0.348835110589183,19.85774,17.85831,16.90128,16.40494,16.07113,GALAXY,0.08976489,-18.253066570851598,325.7583385715427,u,-20.252496570851594,430.3680585635311,g,10.20885062834064,1.9994299999999967,104.60971999198841
1237654669735231507,149.12383110491,-0.398271827174791,20.31423,18.27644,17.31802,16.89034,16.54486,GALAXY,0.08709911,-17.72579428461839,326.55716183964125,u,-19.76358428461839,431.4234053599768,g,10.000498513847356,2.0377899999999975,104.86624352033556
1237651800696816420,149.125541771443,-0.306961013008019,22.37233,21.40325,19.62605,18.79141,18.32188,GALAXY,0.470219,-20.95377101963544,319.00009454373804,g,-23.56561101963544,508.7677414045119,i,10.833614807854175,2.611840000000001,189.76764686077388
1237654669735231622,149.160894425126,-0.358016663076952,17.87147,15.83815,14.85085,14.39036,14.02733,GALAXY,0.087761,-20.186315232136405,326.35845557985624,u,-22.219635232136405,431.16088920268334,g,10.99686129285456,2.03332,104.8024336228271
1237654669735231788,149.168590971107,-0.380506642586411,20.1977,18.56897,17.69545,17.17952,16.79411,GALAXY,0.08544684,-17.79743282161908,327.0542479998376,u,-19.42616282161908,432.0801191885178,g,9.895193128647632,1.628730000000001,105.02587118868018
1237651799622942827,148.727079502296,-1.12097227966964,19.66633,18.4932,17.82727,17.41508,17.19505,GALAXY,0.08433501,-18.29813690144935,327.3895952137523,u,-19.471266901449347,432.5231553669009,g,9.87003236057974,1.173129999999997,105.13356015314861
1237648720143253780,148.606593981689,-0.928687084035975,22.93662,19.687,17.90019,17.27892,16.85871,GALAXY,0.3583607,-21.90828741889163,345.26911740011326,g,-23.69509741889163,454.2239774752023,r,10.997199767556651,1.7868100000000027,108.95486007508902
1237654668661227893,148.594389626973,-1.17347422574671,20.51118,18.56608,17.3832,16.86213,16.4807,GALAXY,0.1369993,-18.609822724355364,312.2253461369765,u,-20.554922724355364,412.4892601077239,g,10.396137889742148,1.9451,100.26391397074741
1237648720143253641,148.565587239354,-0.936092311604233,20.00377,18.17045,17.25731,16.75394,16.3976,GALAXY,0.08971721,-18.105787843947784,325.77259195530183,u,-19.939107843947784,430.3868890902438,g,10.089177537579111,1.8333200000000005,104.61429713494198
1237651799622877567,148.620837717545,-1.10879970791097,22.79138,19.74503,17.82999,17.13927,16.81766,GALAXY,0.3715443,-21.94968221024904,341.95031104718964,g,-23.86472221024904,449.85787188937314,r,11.064018484099616,1.9150400000000012,107.9075608421835
1237648720143253667,148.585015116825,-0.942078164890356,19.2848,17.36638,16.44949,16.02587,15.664,GALAXY,0.08391871,-18.66808755793241,327.51533553655514,u,-20.586507557932407,432.6892742722376,g,10.329911823172964,1.9184199999999976,105.17393873568244
1237648720143253644,148.56499137649,-0.954623218635512,20.44069,18.64716,17.72778,17.34446,17.03597,GALAXY,0.08904524,-17.651203146814613,325.973602345482,u,-19.444733146814613,430.6524492958621,g,9.873072458725847,1.7935300000000005,104.67884695038009
1237650794610426109,148.572503329105,-1.17246935308471,20.51052,18.34104,17.24074,16.77199,16.40539,GALAXY,0.1370629,-18.611612027614484,312.2078822552385,u,-20.781092027614484,412.4661881062164,g,10.439278411045796,2.16948,100.25830585097793
1237651799622877394,148.583284040502,-1.14679386605618,20.41522,18.25282,17.14056,16.64497,16.28257,GALAXY,0.1387639,-18.736940939263143,311.74152956552274,u,-20.899340939263148,411.8500770879723,g,10.49397317570526,2.162400000000005,100.10854752244956
1237654669198295120,148.966759667841,-0.77606783390261,21.56305,19.2012,17.76762,17.11802,16.75748,STAR,0.0001006776,-1.6104428752002455,354.9642630499104,u,-3.972292875200246,468.9527869588956,g,3.808807550080098,2.3618500000000004,113.9885239089852
1237654669198164194,148.732920529748,-0.761151504281128,18.4286,16.8308,16.01616,15.58288,15.28753,GALAXY,0.08627161,-19.589041658133024,326.80592655827576,u,-21.186841658133023,431.7520550868488,g,10.567379063253211,1.5977999999999994,104.94612852857307
1237648720143253704,148.655165747443,-1.03297920867273,21.30073,18.95944,17.77898,17.29316,16.93177,GALAXY,0.1651293,-20.6201613154968,402.5304316010249,g,-21.8006213154968,529.5549601233099,r,10.38271412619872,1.18046,127.02452852228504
1237650795147297022,148.570689365611,-0.715832044803815,22.65684,20.60504,18.95905,18.2497,17.81555,GALAXY,0.4193437,-21.4268584831746,330.4344113409599,g,-23.0728484831746,434.7079569240347,r,10.881864993269842,1.6459900000000012,104.27354558307479
